line_number,committee_name,filing_form,is_notice,file_number,related_line_number,committee_id,payee_prefix,payee_first_name,payee_middle_name,payee_last_name,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,filer_first_name,filer_middle_name,filer_last_name,filer_suffix,filer_prefix,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_suffix,candidate_office,candidate_office_state,candidate_office_district,expenditure_description,expenditure_date,expenditure_amount,office_total_ytd,category_code,support_oppose_indicator,notary_sign_date,dissemination_date,candidate_party,most_recent,transaction_id,image_number,entity_type,amendment_indicator,memo_code,memo_text,back_reference_transaction_id,back_reference_schedule_name,load_timestamp
24,GOA VICTORY FUND,F3X,f,1899285,23,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,S2GA00225,Walker,,Herschel,,,S,GA,,Digital advertsing,14-09-2022,62999.99,112999.99,4,S,,16-09-2022,REP,,SE.5438,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,20,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,S2NV00324,Laxalt,,Adam,,,S,NV,,Digital ads,08-09-2022,55500,501609.03,4,S,,09-09-2022,REP,,SE.5434,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,13,C00817122,,,,"Audacy Operations, Inc.",,7255 So. Tenaya Way,Suite 100,Las Vegas,NV,89113,Velleco,,John,,,S2NV00324,Laxalt,,Adam,,,S,NV,,Radio and digital ads,01-09-2022,247101.02,337109.03,4,S,,01-09-2022,REP,,SE.5423,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899291,23,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,S2AK00127,Tshibaka,,Kelly,,,S,AK,,Digital advertising,17-10-2022,11073.41,11073.41,4,S,,17-10-2022,REP,,SE.5489,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,36,C00817122,,,,Sounder & Key,,544 Brooke Street,,Charles Town,WV,25414,Velleco,,John,,,S2GA00225,Walker,,Herschel,,,S,GA,,Video Production,19-10-2022,1200,149199.99,4,S,,18-10-2022,REP,,SE.5521,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,17,C00817122,,,,"Audacy Operations, Inc.",,7255 So. Tenaya Way,Suite 100,Las Vegas,NV,89113,Velleco,,John,,,H2NH01270,Leavitt,,Karoline,,,H,NH,1,Radio and digital ads,18-10-2022,12500,33370.1,4,S,,18-10-2022,REP,,SE.5524,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,34,C00817122,,,,Sounder & Key,,544 Brooke Street,,Charles Town,WV,25414,Velleco,,John,,,S2NV00324,Laxalt,,Adam,,,S,NV,,Video production,19-10-2022,1200,614809.03,4,S,,18-10-2022,REP,,SE.5519,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,40,C00817122,,,,Truth in Advertising,,1705 Ellsworth Avenue,,Carneigie,PA,15106,Velleco,,John,,,S2GA00225,Walker,,Herschel,,,S,GA,,Television advertising services,18-10-2022,5250,147999.99,4,S,,18-10-2022,REP,,SE.5516,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,19,C00817122,,,,"Beasley Media Group, LLC",,2920 Durango Drive S.,,Las Vegas,NV,89117,Velleco,,John,,,S2NV00324,Laxalt,,Adam,,,S,NV,,Radio advertising,18-10-2022,100000,603609.03,4,S,,19-10-2022,REP,,SE.5501,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,30,C00817122,,,,Sinclair Broadcasting Corp.,,10706 Beaver Dam Road,,Hunt Valley,MD,21030,Velleco,,John,,,S2NV00324,Laxalt,,Adam,,,S,NV,,Television ads,18-10-2022,8500,612109.03,4,S,,18-10-2022,REP,,SE.5510,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,38,C00817122,,,,Truth in Advertising,,1705 Ellsworth Avenue,,Carneigie,PA,15106,Velleco,,John,,,S2NV00324,Laxalt,,Adam,,,S,NV,,Television advertising services,18-10-2022,1500,613609.03,4,S,,18-10-2022,REP,,SE.5511,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,32,C00817122,,,,Sinclair Broadcasting Corp.,,10706 Beaver Dam Road,,Hunt Valley,MD,21030,Velleco,,John,,,S2GA00225,Walker,,Herschel,,,S,GA,,Television ads,18-10-2022,29750,142749.99,4,S,,18-10-2022,REP,,SE.5515,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,21,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H0NV04023,Peters,,Sam,,,H,NV,4,Digital advertising,05-10-2022,25130,25130,4,S,,06-10-2022,,,SE.5484,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,29,C00817122,,,,Sinclair Broadcasting Corp.,,10706 Beaver Dam Road,,Hunt Valley,MD,21030,Velleco,,John,,,S0UT00165,Lee,,Mike,,,S,UT,,Television ads,18-10-2022,8500,48500,4,S,,18-10-2022,REP,,SE.5504,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,28,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H0MI08141,Junge,,Paul,,,H,MI,8,Digital advertising,17-10-2022,21593.2,21593.2,4,S,,17-10-2022,REP,,SE.5498,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,27,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H0MN02134,Kistner,,Tyler,,,H,MN,2,Digital advertising,17-10-2022,10120.73,10120.73,4,S,,17-10-2022,REP,,SE.5496,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,24,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H2IN01172,Green,,Jennifer-Ruth,,,H,IN,1,Digital advertising,17-10-2022,10295.02,10295.02,4,S,,17-10-2022,REP,,SE.5490,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,22,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H2IA03119,Nunn,,Zach,,,H,IA,3,Digital advertising,17-10-2022,20291.66,20291.66,4,S,,17-10-2022,REP,,SE.5486,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,20,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,S2NC00505,Budd,,Ted,,,S,NC,,Digital advertising,05-10-2022,24999.98,74999.98,4,S,,06-10-2022,REP,,SE.5483,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,25,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H2MI07123,Barrett,,Tom,,,H,MI,7,Digital advertising,17-10-2022,10307.62,10307.62,4,S,,17-10-2022,REP,,SE.5492,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,26,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H2WA08182,Larkin,,Matt,,,H,WA,8,Digital advertising,17-10-2022,10066.49,10066.49,4,S,,17-10-2022,REP,,SE.5494,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,18,C00817122,,,,"Audacy Operations, Inc.",,7255 So. Tenaya Way,Suite 100,Las Vegas,NV,89113,Velleco,,John,,,H8NH02309,Burns,,Robert,,,H,NH,2,Radio and digital ads,18-10-2022,12500,12500,4,S,,18-10-2022,,,SE.5525,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,16,C00817122,,,,"Audacy Operations, Inc.",,7255 So. Tenaya Way,Suite 100,Las Vegas,NV,89113,Velleco,,John,,,S0NH00326,Bolduc,,Don,,,S,NH,,Radio and digital ads,18-10-2022,25000,25000,4,S,,18-10-2022,REP,,SE.5522,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,35,C00817122,,,,Sounder & Key,,544 Brooke Street,,Charles Town,WV,25414,Velleco,,John,,,S2AZ00372,Masters,,Blake,,,S,AZ,,Video production,19-10-2022,1200,287699.99,4,S,,18-10-2022,REP,,SE.5520,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,33,C00817122,,,,Sounder & Key,,544 Brooke Street,,Charles Town,WV,25414,Velleco,,John,,,S0UT00165,Lee,,Mike,,,S,UT,,Videp production,19-10-2022,1200,51200,4,S,,18-10-2022,REP,,SE.5517,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,39,C00817122,,,,Truth in Advertising,,1705 Ellsworth Avenue,,Carneigie,PA,15106,Velleco,,John,,,S2AZ00372,Masters,,Blake,,,S,AZ,,Television advertising services,18-10-2022,3375,286499.99,4,S,,18-10-2022,REP,,SE.5514,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,31,C00817122,,,,Sinclair Broadcasting Corp.,,10706 Beaver Dam Road,,Hunt Valley,MD,21030,Velleco,,John,,,S2AZ00372,Masters,,Blake,,,S,AZ,,Television ads,18-10-2022,19125,283124.99,4,S,,18-10-2022,REP,,SE.5513,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899291,37,C00817122,,,,Truth in Advertising,,1705 Ellsworth Avenue,,Carneigie,PA,15106,Velleco,,John,,,S0UT00165,Lee,,Mike,,,S,UT,,Television advertising services,18-10-2022,1500,50000,4,S,,18-10-2022,REP,,SE.5509,2.02507E+17,ORG,C,,,,,09-07-2025 15:53
24,GOA VICTORY FUND,F3X,f,1899298,14,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,S2GA00225,Walker,,Herschel,,,S,GA,,Digital advertising,29-11-2022,61499.99,66499.99,4,S,,30-11-2022,REP,,SE.5746,2.02507E+17,ORG,C,,,,,09-07-2025 16:12
24,GOA VICTORY FUND,F3X,f,1899298,16,C00817122,,,,Sounder & Key,,544 Brooke Street,,Charles Town,WV,25414,Velleco,,John,,,S2GA00225,Walker,,Herschel,,,S,GA,,Video production,27-12-2022,1200,163979.99,4,S,,05-12-2022,REP,,SE.5767,2.02507E+17,ORG,C,,,,,09-07-2025 16:12
24,GOA VICTORY FUND,F3X,f,1899298,13,C00817122,,,,i360 LLC,,2300 Clarendon Blvd,Suite 800,Arlington,VA,22201,Velleco,,John,,,S2GA00225,Walker,,Herschel,,,S,GA,,Activist platform and list rental,29-11-2022,11000,77499.99,4,S,,01-12-2022,REP,,SE.5747,2.02507E+17,ORG,C,,,,,09-07-2025 16:12
24,GOA VICTORY FUND,F3X,f,1899298,15,C00817122,,,,Meta,,1 Hacker Way,,Menlo Park,CA,94025,Velleco,,John,,,S2GA00225,Walker,,Herschel,,,S,GA,,Digital advertising,29-11-2022,5000,82499.99,4,S,,01-12-2022,REP,,SE.5748,2.02507E+17,ORG,C,,,,,09-07-2025 16:12
24,GOA VICTORY FUND,F3X,f,1899298,12,C00817122,,,,"Audacy Operations, Inc.",,7255 So. Tenaya Way,Suite 100,Las Vegas,NV,89113,Velleco,,John,,,S2GA00225,Walker,,Herschel,,,S,GA,,Digital ads,08-12-2022,50000,132499.99,4,S,,30-11-2022,REP,,SE.5749,2.02507E+17,ORG,C,,,,,09-07-2025 16:12
24,GOA VICTORY FUND,F3X,f,1899298,17,C00817122,,,,Votorious LLC,,P.O. Box 998,,Princeton,WV,24740,Velleco,,John,,,S2GA00225,Walker,,Herschel,,,S,GA,,Text messages and Robo calls,09-12-2022,30280,162779.99,4,S,,05-12-2022,REP,,SE.5750,2.02507E+17,ORG,C,,,,,09-07-2025 16:12
24,GOA VICTORY FUND,F3X,f,1899375,32,C00817122,,,,"Audacy Operations, Inc._",,7819 National Service Road,Suite 401,Greensboro,NC,27409,Velleco,,John,,,H2VA07261,Vega,,Yesli,,,H,VA,7,TV ads distribution,03-11-2022,5000,33474.58,4,S,,04-11-2022,REP,,SE.5696,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
24,GOA VICTORY FUND,F3X,f,1899375,114,C00817122,,,,Sounder & Key,,544 Brooke Street,,Charles Town,WV,25414,Velleco,,John,,,H2PA17160,Shaffer,,Jeremy,,,H,PA,17,Video production,03-11-2022,1200,15916.98,4,S,,04-11-2022,REP,,SE.5690,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
24,GOA VICTORY FUND,F3X,f,1899375,29,C00817122,,,,"Audacy Operations, Inc._",,7819 National Service Road,Suite 401,Greensboro,NC,27409,Velleco,,John,,,H2PA17160,Shaffer,,Jeremy,,,H,PA,17,TV ads distribution,03-11-2022,5000,14716.98,4,S,,04-11-2022,REP,,SE.5689,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
24,GOA VICTORY FUND,F3X,f,1899375,111,C00817122,,,,Sounder & Key,,544 Brooke Street,,Charles Town,WV,25414,Velleco,,John,,,H2NY22212,Williams,,Brandon,,,H,NY,22,TV ads distribution,03-11-2022,1200,17400.01,4,S,,04-11-2022,REP,,SE.5683,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
24,GOA VICTORY FUND,F3X,f,1899375,26,C00817122,,,,"Audacy Operations, Inc._",,7819 National Service Road,Suite 401,Greensboro,NC,27409,Velleco,,John,,,H2NY22212,Williams,,Brandon,,,H,NY,22,TV ads distribution,03-11-2022,5000,16200.01,4,S,,04-11-2022,REP,,SE.5682,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
24,GOA VICTORY FUND,F3X,f,1899375,110,C00817122,,,,Sounder & Key,,544 Brooke Street,,Charles Town,WV,25414,Velleco,,John,,,H0NV04023,Peters,,Sam,,,H,NV,4,Video production,03-11-2022,1200,40444.02,4,S,,04-11-2022,,,SE.5681,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
24,GOA VICTORY FUND,F3X,f,1899375,25,C00817122,,,,"Audacy Operations, Inc._",,7819 National Service Road,Suite 401,Greensboro,NC,27409,Velleco,,John,,,H0NV04023,Peters,,Sam,,,H,NV,4,TV ads distribution,03-11-2022,5000,39244.02,4,S,,04-11-2022,,,SE.5680,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
24,GOA VICTORY FUND,F3X,f,1899375,109,C00817122,,,,Sounder & Key,,544 Brooke Street,,Charles Town,WV,25414,Velleco,,John,,,H2NV03161,Becker,,April,,,H,NV,3,Video production,03-11-2022,1200,27349.48,4,S,,04-11-2022,,,SE.5679,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
24,GOA VICTORY FUND,F3X,f,1899375,24,C00817122,,,,"Audacy Operations, Inc._",,7819 National Service Road,Suite 401,Greensboro,NC,27409,Velleco,,John,,,H2NV03161,Becker,,April,,,H,NV,3,TV ads distribution,03-11-2022,5000,26149.48,4,S,,04-11-2022,,,SE.5678,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
24,GOA VICTORY FUND,F3X,f,1899375,112,C00817122,,,,Sounder & Key,,544 Brooke Street,,Charles Town,WV,25414,Velleco,,John,,,H2OR05209,Chavez-DeRemer,,Lori,,,H,OR,5,Video production,03-11-2022,1200,12456.61,4,S,,04-11-2022,REP,,SE.5685,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
24,GOA VICTORY FUND,F3X,f,1899375,105,C00817122,,,,Sounder & Key,,544 Brooke Street,,Charles Town,WV,25414,Velleco,,John,,,H2NC05157,Hines,,Bo,,,H,NC,13,Video production,03-11-2022,1200,36652.6,4,S,,04-11-2022,REP,,SE.5670,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
24,GOA VICTORY FUND,F3X,f,1899375,20,C00817122,,,,"Audacy Operations, Inc._",,7819 National Service Road,Suite 401,Greensboro,NC,27409,Velleco,,John,,,H2NC05157,Hines,,Bo,,,H,NC,13,TV ads distribution,03-11-2022,5000,35452.6,4,S,,04-11-2022,REP,,SE.5669,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
24,GOA VICTORY FUND,F3X,f,1899375,104,C00817122,,,,Sounder & Key,,544 Brooke Street,,Charles Town,WV,25414,Velleco,,John,,,H0MN02134,Kistner,,Tyler,,,H,MN,2,Video production,03-11-2022,1200,20371.62,4,S,,04-11-2022,REP,,SE.5667,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
24,GOA VICTORY FUND,F3X,f,1899375,19,C00817122,,,,"Audacy Operations, Inc._",,7819 National Service Road,Suite 401,Greensboro,NC,27409,Velleco,,John,,,H0MN02134,Kistner,,Tyler,,,H,MN,2,TV ads distribution,03-11-2022,5000,19171.62,4,S,,04-11-2022,REP,,SE.5666,2.02507E+17,ORG,C,,,,,09-07-2025 20:37
